track_id,artist,title,primary_genre,secondary_genre,current_subgenre,missing_subgenre_candidate,blocking_reason,evidence_summary
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,Outlaw Country,(none — reval needed),has_subgenre_needs_reval,"Has 'Outlaw Country', needs secondary recheck pass"
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Demun Jones makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Jelly Roll makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Ryan Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2537,Sara Evans,Sara Evans - Suds In The Bucket,Country,Pop,Country Pop,(none — reval needed),has_subgenre_needs_reval,"Has 'Country Pop', needs secondary recheck pass"
2527,Upchurch,Ryan Upchurch - Black Sheep,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2528,Upchurch,Ryan Upchurch - Cowboy Movies,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2530,Upchurch,Ryan Upchurch - Love Her Again,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
2531,Upchurch,Ryan Upchurch - Real Country,Country,Hip-Hop,(null),Country Rap,missing_hybrid_subgenre,Upchurch makes Country music with Hip-Hop elements. Country Rap is an established subgenre (per musicData.js taxonomy). Subgenre does not exist in DB yet.
