track_id,artist,title,primary_genre,secondary_genre,proposed_aligned_subgenre,evidence_tier,confidence,decision,rationale
2082,Chris Stapleton,Chris Stapleton - Fire Away,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2083,Chris Stapleton,Chris Stapleton - Friendship,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2084,Chris Stapleton,Chris Stapleton - Hard Livin',Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2085,Chris Stapleton,Chris Stapleton - I Was Wrong,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2086,Chris Stapleton,Chris Stapleton - Midnight Train To Memphis,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2087,Chris Stapleton,Chris Stapleton - Millionaire,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2088,Chris Stapleton,Chris Stapleton - Nobody to Blame,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2089,Chris Stapleton,Chris Stapleton - Parachute,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2090,Chris Stapleton,Chris Stapleton - Second One To Know,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2091,Chris Stapleton,Chris Stapleton - Tryin To Untangle My Mind,Country,Rock,Outlaw Country,TIER_3,high,RESOLVE,"Chris Stapleton is a well-established Outlaw/Traditional Country artist. His raw, soulful, non-pop-production style aligns with the Outlaw Country tradition. Among available Country subgenres (Bluegrass, Country Pop, Outlaw Country), Outlaw Country is the unambiguous best fit. All 10 tracks in the DB are consistent with this classification."
2174,Demun Jones,Demun Jones - Backyard Lullaby,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2178,Demun Jones,Demun Jones - My Town,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2180,Demun Jones,Demun Jones - Tannerite,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2182,Demun Jones,Demun Jones - Truck Music,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2742,Demun Jones,Upchurch  Demun Jones  - Campfire Cologne,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2221,Faith No More,Faith No More - Epic,Rock,Metal,Alternative,TIER_3,high,RESOLVE,"Faith No More is widely classified as Alternative Rock / Alternative Metal. Among available Rock subgenres (Alternative, Classic Rock, Grunge, Prog Rock, Punk, Shoegaze), Alternative (id=16) is the clear and unambiguous match. 'Epic' is their signature Alternative Rock track."
2838,Hopsin,Hopsin - Ill Mind of Hopsin 5,Hip-Hop,Rock,,,low,SKIP,No fitting Hip-Hop subgenre in DB for this artist
2856,Jelly Roll,Jelly Roll - Need a Favor,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
2529,Ryan Upchurch,Ryan Upchurch - Hollerboys,Country,Hip-Hop,,,low,SKIP,No Country Rap subgenre in DB; cannot resolve
