file_path,issue_type,current_name,suggested_name,confidence,recommended_action,notes,priority_score
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\8 Ball and MJG- Space Age Pimpin.mp3,LOW_CONFIDENCE,8 Ball and MJG- Space Age Pimpin.mp3,8 Ball and MJG - Space Age Pimpin.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000\Aaria- Thug Love ft. Dreamdoll.mp3,LOW_CONFIDENCE,Aaria- Thug Love ft. Dreamdoll.mp3,Aaria - Thug Love ft. Dreamdoll.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Hard Rock_Metal\ACDC- For Those About To Rock (with lyrics).mp3,LOW_CONFIDENCE,ACDC- For Those About To Rock (with lyrics).mp3,ACDC - For Those About To Rock (with lyrics).mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Alan Jackson- Everything I Love.mp3,LOW_CONFIDENCE,Alan Jackson- Everything I Love.mp3,Alan Jackson - Everything I Love.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\All my Exs live in Texas- George Strait.mp3,LOW_CONFIDENCE,All my Exs live in Texas- George Strait.mp3,All my Exs live in Texas - George Strait.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Southern Rock\American Girl performed by Tom Petty.mp3,LOW_CONFIDENCE,American Girl performed by Tom Petty.mp3,Tom Petty - American Girl performed.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_HipHop\Audio Two- Top Billin.mp3,LOW_CONFIDENCE,Audio Two- Top Billin.mp3,Audio Two - Top Billin.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Blues\B.B. King- Everyday I have the Blues.mp3,LOW_CONFIDENCE,B.B. King- Everyday I have the Blues.mp3,B.B. King - Everyday I have the Blues.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000_Country\Back Where I Come From- Kenny Chesney.mp3,LOW_CONFIDENCE,Back Where I Come From- Kenny Chesney.mp3,Back Where I Come From - Kenny Chesney.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",LOW_CONFIDENCE,"Beethoven Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3","Beethoven - Piano Concerto No. 5 in E-flat major, Op. 73 Adagio Un Poco Mosso.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
"C:\Users\suppo\Downloads\New Music\Top1000_Classical\Best Version of Jesu, Joy Of Mans Desiring by Bach.mp3",LOW_CONFIDENCE,"Best Version of Jesu, Joy Of Mans Desiring by Bach.mp3","Bach - Best Version of Jesu, Joy Of Mans Desiring.mp3",0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
C:\Users\suppo\Downloads\New Music\Top1000\Bfb Da Packman- Honey Pack.mp3,LOW_CONFIDENCE,Bfb Da Packman- Honey Pack.mp3,Bfb Da Packman - Honey Pack.mp3,0.3,HOLD,"From manual review pack. Low confidence / unknown parse, not auto-recoverab. Source exists. Parse method: fallback_he",2
