aligned_parent_genre,aligned_subgenre,allowed_secondary_genre,rule_type,required_evidence,confidence_tier,notes
Blues,Blues Rock,Rock,explicit_hybrid,"Track subgenre must be 'Blues Rock' (verified). Primary=Blues, secondary=Rock allowed by hybrid definition.",high,
Blues,Jump Blues,Jazz,stylistic_bridge,Track subgenre 'Jump Blues' has stylistic overlap with Jazz. Requires additional evidence (feature analysis or manual tag).,medium,
Blues,Rhythm and Blues,R&B,explicit_hybrid,"Track subgenre must be 'Rhythm and Blues' (verified). Primary=Blues, secondary=R&B allowed by hybrid definition.",high,
Country,Bro Country,Pop,stylistic_bridge,Track subgenre 'Bro Country' has stylistic overlap with Pop. Requires additional evidence (feature analysis or manual tag).,low,
Country,Country Folk,Folk,stylistic_bridge,Track subgenre 'Country Folk' has stylistic overlap with Folk. Requires additional evidence (feature analysis or manual tag).,medium,
Country,Country Pop,Pop,explicit_hybrid,"Track subgenre must be 'Country Pop' (verified). Primary=Country, secondary=Pop allowed by hybrid definition.",high,
Country,Country Rap,Hip-Hop,explicit_hybrid,"Track subgenre must be 'Country Rap' (verified). Primary=Country, secondary=Hip-Hop allowed by hybrid definition.",high,
Country,Country Rock,Rock,explicit_hybrid,"Track subgenre must be 'Country Rock' (verified). Primary=Country, secondary=Rock allowed by hybrid definition.",high,
Country,Cowpunk,Rock,explicit_hybrid,"Track subgenre must be 'Cowpunk' (verified). Primary=Country, secondary=Rock allowed by hybrid definition.",medium,
Electronic,Grime,Hip-Hop,explicit_hybrid,"Track subgenre must be 'Grime' (verified). Primary=Electronic, secondary=Hip-Hop allowed by hybrid definition.",high,
Electronic,Industrial,Metal,stylistic_bridge,Track subgenre 'Industrial' has stylistic overlap with Metal. Requires additional evidence (feature analysis or manual tag).,medium,
Electronic,Synthwave,Pop,stylistic_bridge,Track subgenre 'Synthwave' has stylistic overlap with Pop. Requires additional evidence (feature analysis or manual tag).,medium,
Electronic,Trip-Hop,Hip-Hop,stylistic_bridge,Track subgenre 'Trip-Hop' has stylistic overlap with Hip-Hop. Requires additional evidence (feature analysis or manual tag).,medium,
Folk,Celtic Folk,World,stylistic_bridge,Track subgenre 'Celtic Folk' has stylistic overlap with World. Requires additional evidence (feature analysis or manual tag).,low,
Folk,Folk Rock,Rock,explicit_hybrid,"Track subgenre must be 'Folk Rock' (verified). Primary=Folk, secondary=Rock allowed by hybrid definition.",high,
Folk,Psychedelic Folk,Rock,stylistic_bridge,Track subgenre 'Psychedelic Folk' has stylistic overlap with Rock. Requires additional evidence (feature analysis or manual tag).,medium,
Hip-Hop,Emo Rap,Rock,stylistic_bridge,Track subgenre 'Emo Rap' has stylistic overlap with Rock. Requires additional evidence (feature analysis or manual tag).,medium,
